,Shape,Mu Max,Coordinates[u,v,\theta_p,\phi_p,\alpha,\theta_q,\phi_q]
0,Triakis Tetrahedron,1.0000040557151102,"[-0.00014329900241209578, 2.6458547703425456e-07, 2.3884232332672166, 6.284537794806309, -3.0435778080040166e-06, 5.4949156896537605, 6.266939335399654]"
1,Rhombic Dodecahedron,1.0272150796587838,"[0.0, 0.0, 3.9269908169871104, 2.5261129449200235, -3.4044317443254712, 5.262612798900129, 5.269283292398051]"
2,Triakis Octahedron,1.0306624927073935,"[0.0, 0.0, 1.0549870349844603, 2.4256619709904768, 4.486349741221959, 3.27181461376901, 4.712391666585387]"
3,Tetrakis Hexahedron,1.0112983887721612,"[0.0, 0.0, 8.437457723588235, -4.227385787988809, -29.395741857217057, 0.7854515373377841, -15.70793082934605]"
4,Deltoidal Icositetrahedron,1.0076364653751324,"[0.0, 0.0, 124.30837956498404, 83.86448016401367, 172.17942711755273, 48.6946863284073, 31.415926374730784]"
5,Disdyakis Dodecahedron,1.004500281028266,"[0.0, 0.0, 3.9262360285525437, 5.66806163303233, 3.6656270967989557, 0.785398163397432, 4.409457520907765]"
6,Pentagonal Icositetrahedron,1.0004361413347,"[0.002844886400225744, -0.000618882145699234, 2.9151977764468917, 4.235873913658617, 0.957032269302657, 7.042833955081999, 4.597597675189382]"
7,Rhombic Triacontahedron,1.007052780614929,"[0.0, 0.0, 4.158814621487536, 3.141592653589809, 0.6966461202911409, 2.0011021395135042, -0.8224078756903308]"
8,Triakis Icosahedron,1.0013089815612948,"[-3.526113522541908e-16, 6.618214026918223e-16, 4.763629980257488, 2.222151264214025, -2.081024440181502, 1.5370616684543124, 0.37921953800016295]"
9,Pentakis Dodecahedron,1.0018672277423408,"[0.0, 0.0, 0.41751773698976385, 0.09091014490786906, -1.0448014915595476, 3.141580642994937, 0.08088006980091343]"
10,Deltoidal Hexecontahedron,0.999999999999998,"[1.078789642633306e-18, -2.807464957359814e-17, 2.086621034486326, 5.021794247047114, 0.8571697521325352, 2.990420026328647, 5.095391177244181]"
11,Disdyakis Triacontahedron,1.000743186023496,"[-1.6457166032327658e-16, -1.507756084971934e-17, 2.376010655053662, 4.528232890625192, -4.914824509003, 2.5353329099495294, 1.5707956201160498]"
12,Pentagonal Hexecontahedron,0.9999999999999992,"[0.0, 0.0, 6.526958266091848, 2.3903173208720974, 2.505257048191477, 1.0277895434944695, 2.080502688458355]"
